('03', 'Paranavai, PR')
('02', 'Paranavai, PR')
('04', 'Paranavai, PR')
('11', 'Paranavai, PR')
('07', 'Paranavai, PR')
('10', 'Paranavai, PR')
('11', 'Paranavai, PR')
('01', 'Paranavai, PR')
('10', 'Paranavai, PR')
('03', 'Paranavai, PR')
('05', 'Paranavai, PR')
('04', 'Paranavai, PR')
('06', 'Paranavai, PR')
('05', 'Paranavai, PR')
('02', 'Paranavai, PR')
('09', 'Paranavai, PR')
('06', 'Paranavai, PR')
('07', 'Paranavai, PR')
('04', 'Paranavai, PR')
('10', 'Paranavai, PR')
('03', 'Paranavai, PR')
('10', 'Paranavai, PR')
('11', 'Paranavai, PR')
('10', 'Paranavai, PR')
('08', 'Paranavai, PR')
('02', 'Paranavai, PR')
('03', 'Paranavai, PR')
('11', 'Paranavai, PR')
('06', 'Paranavai, PR')
('11', 'Campinas, SP')
('07', 'Campinas, SP')
('05', 'Campinas, SP')
('07', 'Campinas, SP')
('09', 'Campinas, SP')
('01', 'Campinas, SP')
('04', 'Campinas, SP')
('03', 'Campinas, SP')
('12', 'Campinas, SP')
('02', 'Campinas, SP')
('04', 'Campinas, SP')
('03', 'Campinas, SP')
('10', 'Campinas, SP')
('05', 'Campinas, SP')
('11', 'Campinas, SP')
('04', 'Campinas, SP')
('12', 'Campinas, SP')
('06', 'Campinas, SP')
('04', 'Campinas, SP')
('05', 'Campinas, SP')
('06', 'Campinas, SP')
('05', 'Campinas, SP')
('12', 'Campinas, SP')
('02', 'Paranavai, PR')
('06', 'Paranavai, PR')
('02', 'Paranavai, PR')
('11', 'Paranavai, PR')
('03', 'Paranavai, PR')
('04', 'Paranavai, PR')
('01', 'Paranavai, PR')
('02', 'Paranavai, PR')
('03', 'Paranavai, PR')
('11', 'Paranavai, PR')
('06', 'Paranavai, PR')
('10', 'Paranavai, PR')
('07', 'Paranavai, PR')
('11', 'Paranavai, PR')
('07', 'Paranavai, PR')
('12', 'Paranavai, PR')
('08', 'Paranavai, PR')
('11', 'Paranavai, PR')
('12', 'Paranavai, PR')
('10', 'Paranavai, PR')
('02', 'Brasilia, DF')
('10', 'Brasilia, DF')
('05', 'Brasilia, DF')
('01', 'Brasilia, DF')
('09', 'Brasilia, DF')
('07', 'Brasilia, DF')
('05', 'Brasilia, DF')
('09', 'Brasilia, DF')
('01', 'Brasilia, DF')
('05', 'Brasilia, DF')
('09', 'Brasilia, DF')
('04', 'Brasilia, DF')
('10', 'Brasilia, DF')
('08', 'Brasilia, DF')
('06', 'Brasilia, DF')
('09', 'Brasilia, DF')
('06', 'Brasilia, DF')
('01', 'Brasilia, DF')
('09', 'Brasilia, DF')
('12', 'Brasilia, DF')
('01', 'Brasilia, DF')
('08', 'Brasilia, DF')
('03', 'Campo Grande, MS')
('11', 'Campo Grande, MS')
('03', 'Campo Grande, MS')
('08', 'Campo Grande, MS')
('12', 'Campo Grande, MS')
('10', 'Campo Grande, MS')
('09', 'Campo Grande, MS')
('10', 'Campo Grande, MS')
('03', 'Campo Grande, MS')
('05', 'Campo Grande, MS')
('02', 'Campo Grande, MS')
('01', 'Campo Grande, MS')
('05', 'Campo Grande, MS')
('03', 'Campo Grande, MS')
('04', 'Campo Grande, MS')
('08', 'Campo Grande, MS')
('02', 'Campo Grande, MS')
('05', 'Campo Grande, MS')
('04', 'Campo Grande, MS')
('10', 'Campo Grande, MS')
('07', 'Campo Grande, MS')
('12', 'Campo Grande, MS')
('10', 'Campo Grande, MS')
('12', 'Campo Grande, MS')
('05', 'Campo Grande, MS')
('02', 'Campo Grande, MS')
('05', 'Campo Grande, MS')
('09', 'Campo Grande, MS')
('07', 'Campo Grande, MS')
('12', 'Campo Grande, MS')
('07', 'Campo Grande, MS')
('05', 'Campo Grande, MS')
('03', 'Campo Grande, MS')
('05', 'Campo Grande, MS')
('02', 'Campo Grande, MS')
('01', 'Campo Grande, MS')
('09', 'Campo Grande, MS')
('12', 'Campo Grande, MS')
('02', 'Campo Grande, MS')
('11', 'Campo Grande, MS')
('08', 'Campo Grande, MS')
('12', 'Campo Grande, MS')
('07', 'Campo Grande, MS')
('02', 'Campo Grande, MS')
('06', 'Campo Grande, MS')
('04', 'Campo Grande, MS')
('08', 'Campo Grande, MS')
('10', 'Campo Grande, MS')
('04', 'Campo Grande, MS')
('07', 'Campo Grande, MS')
('10', 'Campo Grande, MS')
('09', 'Campo Grande, MS')
('10', 'Campo Grande, MS')
('08', 'Campo Grande, MS')
('12', 'Campo Grande, MS')
('01', 'Campo Grande, MS')
('04', 'Campo Grande, MS')
('01', 'Campo Grande, MS')
('03', 'Campo Grande, MS')
('08', 'Campo Grande, MS')
('10', 'Campo Grande, MS')
('09', 'Campo Grande, MS')
('06', 'Campo Grande, MS')
('12', 'Campo Grande, MS')
('05', 'Campo Grande, MS')
('04', 'Campo Grande, MS')
('06', 'Campo Grande, MS')
('05', 'Campo Grande, MS')
('08', 'Campo Grande, MS')
('10', 'Campo Grande, MS')
('05', 'Campo Grande, MS')
('12', 'Campo Grande, MS')
('04', 'Campo Grande, MS')
('07', 'Campo Grande, MS')
('05', 'Campo Grande, MS')
('08', 'Campo Grande, MS')
('04', 'Campo Grande, MS')
('08', 'Campo Grande, MS')
('01', 'Campo Grande, MS')
('05', 'Campo Grande, MS')
('04', 'Campo Grande, MS')
('03', 'Campo Grande, MS')
('07', 'Campo Grande, MS')
('02', 'Campo Grande, MS')
('10', 'Campo Grande, MS')
('03', 'Dec Campinas, SP')
('07', 'Dec Campinas, SP')
('02', 'Dec Campinas, SP')
('04', 'Dec Campinas, SP')
('12', 'Dec Campinas, SP')
('06', 'Dec Campinas, SP')
('04', 'Dec Campinas, SP')
('01', 'Dec Campinas, SP')
('11', 'Dec Campinas, SP')
('10', 'Dec Campinas, SP')
('04', 'Dec Campinas, SP')
('03', 'Dec Campinas, SP')
('04', 'Dec Campinas, SP')
('03', 'Dec Campinas, SP')
('05', 'Dec Campinas, SP')
('01', 'Dec Campinas, SP')
('12', 'Nov Sao Paulo, SP')
('05', 'Nov Sao Paulo, SP')
('09', 'Nov Sao Paulo, SP')
('01', 'Nov Sao Paulo, SP')
('11', 'Nov Sao Paulo, SP')
('06', 'Nov Sao Paulo, SP')
('01', 'Nov Sao Paulo, SP')
('08', 'Nov Sao Paulo, SP')
('05', 'Nov Sao Paulo, SP')
('01', 'Nov Sao Paulo, SP')
('09', 'Nov Sao Paulo, SP')
('12', 'Nov Sao Paulo, SP')
('11', 'Nov Sao Paulo, SP')
('05', 'Nov Sao Paulo, SP')
('12', 'Nov Sao Paulo, SP')
('03', 'Nov Sao Paulo, SP')
('04', 'Nov Sao Paulo, SP')
('10', 'Nov Sao Paulo, SP')
('07', 'Oct Brasilia, DF')
('03', 'Oct Brasilia, DF')
('07', 'Oct Brasilia, DF')
('06', 'Oct Brasilia, DF')
('01', 'Oct Brasilia, DF')
('09', 'Oct Brasilia, DF')
('07', 'Oct Brasilia, DF')
('09', 'Oct Brasilia, DF')
('11', 'Oct Brasilia, DF')
('03', 'Oct Brasilia, DF')
('05', 'Oct Brasilia, DF')
('11', 'Oct Brasilia, DF')
('05', 'Oct Brasilia, DF')
('02', 'Oct Brasilia, DF')
('04', 'Oct Brasilia, DF')
('05', 'Oct Brasilia, DF')
('12', 'Oct Brasilia, DF')
('03', 'Oct Brasilia, DF')
('12', 'Oct Brasilia, DF')
('01', 'Oct Brasilia, DF')
('04', 'Oct Brasilia, DF')
('05', 'Oct Brasilia, DF')
('02', 'Oct Brasilia, DF')
('11', 'Oct Brasilia, DF')
('06', 'Oct Brasilia, DF')
('12', 'Sep Porto Velho, RO')
('10', 'Sep Porto Velho, RO')
('02', 'Sep Porto Velho, RO')
('11', 'Sep Porto Velho, RO')
('08', 'Sep Porto Velho, RO')
('11', 'Sep Porto Velho, RO')
('08', 'Sep Porto Velho, RO')
('07', 'Sep Porto Velho, RO')
('06', 'Sep Porto Velho, RO')
('02', 'Sep Porto Velho, RO')
('04', 'Sep Porto Velho, RO')
('08', 'Sep Porto Velho, RO')
('03', 'Sep Porto Velho, RO')
('04', 'Sep Porto Velho, RO')
('12', 'Sep Porto Velho, RO')
('10', 'Sep Porto Velho, RO')
('07', 'Sep Porto Velho, RO')
('05', 'Sep Porto Velho, RO')
('03', 'Sep Porto Velho, RO')
('05', 'Aug Guaruja, SP')
('08', 'Aug Guaruja, SP')
('01', 'Aug Guaruja, SP')
('10', 'Aug Guaruja, SP')
('09', 'Aug Guaruja, SP')
('11', 'Aug Guaruja, SP')
('02', 'Aug Guaruja, SP')
('08', 'Aug Guaruja, SP')
('05', 'Aug Guaruja, SP')
('12', 'Aug Guaruja, SP')
('08', 'Aug Guaruja, SP')
('05', 'Aug Guaruja, SP')
('01', 'Aug Guaruja, SP')
('11', 'Aug Guaruja, SP')
('04', 'Aug Guaruja, SP')
('02', 'Aug Guaruja, SP')
('07', 'Aug Guaruja, SP')
('04', 'Aug Guaruja, SP')
('05', 'Aug Guaruja, SP')
('08', 'Aug Guaruja, SP')
('01', 'Aug Guaruja, SP')
('06', 'Aug Guaruja, SP')
('07', 'Jul Ubatuba, SP')
('01', 'Jul Ubatuba, SP')
('06', 'Jul Ubatuba, SP')
('08', 'Jul Ubatuba, SP')
('10', 'Jul Ubatuba, SP')
('06', 'Jul Ubatuba, SP')
('02', 'Jul Ubatuba, SP')
('08', 'Jul Ubatuba, SP')
('07', 'Jul Ubatuba, SP')
('11', 'Jul Ubatuba, SP')
('09', 'Jul Ubatuba, SP')
('12', 'Jul Ubatuba, SP')
('04', 'Jul Ubatuba, SP')
('01', 'Jul Ubatuba, SP')
('02', 'Jul Ubatuba, SP')
('08', 'Jul Ubatuba, SP')
('05', 'Jul Ubatuba, SP')
('07', 'Jul Ubatuba, SP')
('01', 'Jul Ubatuba, SP')
('04', 'Jul Ubatuba, SP')
('08', 'Jul Ubatuba, SP')
('11', 'Jul Ubatuba, SP')
('03', 'Jul Ubatuba, SP')
('06', 'Jul Ubatuba, SP')
('08', 'Jun Amparo, SP')
('09', 'Jun Amparo, SP')
('02', 'Jun Amparo, SP')
('12', 'Jun Amparo, SP')
('08', 'Jun Amparo, SP')
('11', 'Jun Amparo, SP')
('02', 'Jun Amparo, SP')
('04', 'Jun Amparo, SP')
('06', 'Jun Amparo, SP')
('10', 'Jun Amparo, SP')
('06', 'Jun Amparo, SP')
('07', 'Jun Amparo, SP')
('10', 'Jun Amparo, SP')
('03', 'Jun Amparo, SP')
('08', 'Jun Amparo, SP')
('12', 'Jun Amparo, SP')
('11', 'Jun Amparo, SP')
('12', 'Jun Amparo, SP')
('04', 'Jun Amparo, SP')
('05', 'Jun Amparo, SP')
('02', 'Jun Amparo, SP')
('07', 'Jun Amparo, SP')
('11', 'Jun Amparo, SP')
('05', 'Jun Amparo, SP')
('02', 'May Paranavai, PR')
('10', 'May Paranavai, PR')
('07', 'May Paranavai, PR')
('03', 'May Paranavai, PR')
('12', 'May Paranavai, PR')
('05', 'May Paranavai, PR')
('11', 'May Paranavai, PR')
('05', 'May Paranavai, PR')
('03', 'May Paranavai, PR')
('10', 'May Paranavai, PR')
('05', 'May Paranavai, PR')
('04', 'May Paranavai, PR')
('12', 'May Paranavai, PR')
('09', 'May Paranavai, PR')
('01', 'May Paranavai, PR')
('11', 'May Paranavai, PR')
('08', 'May Paranavai, PR')
('11', 'May Paranavai, PR')
('04', 'May Paranavai, PR')
('07', 'May Paranavai, PR')
('08', 'May Paranavai, PR')
('06', 'Apr Campo Grande, MS')
('04', 'Apr Campo Grande, MS')
('03', 'Apr Campo Grande, MS')
('02', 'Apr Campo Grande, MS')
('03', 'Apr Campo Grande, MS')
('05', 'Apr Campo Grande, MS')
('01', 'Apr Campo Grande, MS')
('10', 'Apr Campo Grande, MS')
('12', 'Apr Campo Grande, MS')
('09', 'Apr Campo Grande, MS')
('02', 'Apr Campo Grande, MS')
('08', 'Apr Campo Grande, MS')
('09', 'Apr Campo Grande, MS')
('05', 'Apr Campo Grande, MS')
('10', 'Apr Campo Grande, MS')
('11', 'Apr Campo Grande, MS')
('02', 'Apr Campo Grande, MS')
('04', 'Apr Campo Grande, MS')
('05', 'Apr Campo Grande, MS')
('03', 'Apr Campo Grande, MS')
('11', 'Apr Campo Grande, MS')
('02', 'Apr Campo Grande, MS')
('04', 'Apr Campo Grande, MS')
('11', 'Mar Rio de Janeiro, RJ')
('06', 'Mar Rio de Janeiro, RJ')
('10', 'Mar Rio de Janeiro, RJ')
('04', 'Mar Rio de Janeiro, RJ')
('05', 'Mar Rio de Janeiro, RJ')
('12', 'Mar Rio de Janeiro, RJ')
('03', 'Mar Rio de Janeiro, RJ')
('05', 'Mar Rio de Janeiro, RJ')
('07', 'Mar Rio de Janeiro, RJ')
('09', 'Mar Rio de Janeiro, RJ')
('07', 'Mar Rio de Janeiro, RJ')
('04', 'Mar Rio de Janeiro, RJ')
('09', 'Mar Rio de Janeiro, RJ')
('01', 'Mar Rio de Janeiro, RJ')
('02', 'Mar Rio de Janeiro, RJ')
('04', 'Mar Rio de Janeiro, RJ')
('07', 'Mar Rio de Janeiro, RJ')
('05', 'Mar Rio de Janeiro, RJ')
('04', 'Mar Rio de Janeiro, RJ')
('12', 'Mar Rio de Janeiro, RJ')
('02', 'Mar Rio de Janeiro, RJ')
('06', 'Mar Rio de Janeiro, RJ')
('11', 'Feb Florianopolis, SC')
('07', 'Feb Florianopolis, SC')
('04', 'Feb Florianopolis, SC')
('12', 'Feb Florianopolis, SC')
('03', 'Feb Florianopolis, SC')
('10', 'Feb Florianopolis, SC')
('09', 'Feb Florianopolis, SC')
('02', 'Feb Florianopolis, SC')
('05', 'Feb Florianopolis, SC')
('04', 'Feb Florianopolis, SC')
('01', 'Feb Florianopolis, SC')
('05', 'Feb Florianopolis, SC')
('03', 'Feb Florianopolis, SC')
('10', 'Feb Florianopolis, SC')
('06', 'Feb Florianopolis, SC')
('03', 'Feb Florianopolis, SC')
('04', 'Feb Florianopolis, SC')
('08', 'Feb Florianopolis, SC')
('12', 'Feb Florianopolis, SC')
('05', 'Feb Florianopolis, SC')
('04', 'Feb Florianopolis, SC')
('08', 'Feb Florianopolis, SC')
('02', 'Feb Florianopolis, SC')
('11', 'Jan Campinas, SP')
('10', 'Jan Campinas, SP')
('02', 'Jan Campinas, SP')
('01', 'Jan Campinas, SP')
('07', 'Jan Campinas, SP')
('04', 'Jan Campinas, SP')
('01', 'Jan Campinas, SP')
('07', 'Jan Campinas, SP')
('11', 'Jan Campinas, SP')
('03', 'Jan Campinas, SP')
('05', 'Jan Campinas, SP')
('07', 'Jan Campinas, SP')
('11', 'Jan Campinas, SP')
('12', 'Jan Campinas, SP')
('01', 'Jan Campinas, SP')
('06', 'Jan Campinas, SP')
('01', 'Jan Campinas, SP')
('04', 'Jan Campinas, SP')
('07', 'Jan Campinas, SP')
('05', 'Jan Campinas, SP')
('12', 'Jan Campinas, SP')
('04', 'Jan Campinas, SP')
('02', 'Jan Campinas, SP')
('09', 'Jan Campinas, SP')
('03', 'Jan Campinas, SP')
('01', 'Jan Campinas, SP')
